,HT,Score,AT,attendance,referee,HomeGoals,AwayGoals,match_report_link,Home_Poss,Away_Poss,Home_PA,Away_PA,Home_ShoT,Away_ShoT,Home_Saves,Away_Saves,HomeFouls,HomeCorners,HomeCrosses,HomeTouches,HomeTackles,HomeInterceptions,HomeAerials,HomeClearances,HomeOffsides,HomeGoalKicks,HomeThrowIns,HomeLongBalls,AwayFouls,AwayCorners,AwayCrosses,AwayTouches,AwayTackles,AwayInterceptions,AwayAerials,AwayClearances,AwayOffsides,AwayGoalKicks,AwayThrowIns,AwayLongBalls
37,Palmeiras,0–0,Atlético Mineiro,"34,240",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/b426ac39/Palmeiras-Atletico-Mineiro-June-4-2017-Serie-A"">Match Report",53%,47%,79%,73%,40%,33%,100%,83%,20,7,22,603,13,23,16,11,1,3,27,44,11,6,12,553,16,10,14,28,2,12,26,68
38,Cruzeiro,0–2,Chapecoense,"16,591",Claudio Francisco Lima e Silva,0,2,"https://fbref.com/en/matches/26b5b188/Cruzeiro-Chapecoense-June-4-2017-Serie-A"">Match Report",61%,39%,83%,76%,38%,50%,60%,100%,8,4,22,708,10,20,8,10,2,8,32,34,16,5,14,508,7,23,13,22,1,7,25,80
39,Bahia,3–0,Atl Goianiense,"13,364",Rodrigo Batista Raposo,3,0,"https://fbref.com/en/matches/3b76e6dd/Bahia-Atletico-Goianiense-June-5-2017-Serie-A"">Match Report",59%,41%,86%,77%,44%,33%,100%,62%,21,7,21,677,17,12,20,10,6,4,18,46,27,4,15,518,26,12,14,16,4,9,18,51
40,Fluminense,1–1,Atl Paranaense,"14,843",Igor Junior Benevenuto,1,1,"https://fbref.com/en/matches/1d03a650/Fluminense-Atletico-Paranaense-June-6-2017-Serie-A"">Match Report",54%,46%,83%,79%,47%,14%,0%,85%,19,10,35,568,18,15,18,11,1,4,24,40,16,4,16,528,8,9,11,30,1,10,20,54
41,Coritiba,1–0,Palmeiras,"16,648",Braulio da Silva Machado,1,0,"https://fbref.com/en/matches/37cc4643/Coritiba-Palmeiras-June-7-2017-Serie-A"">Match Report",44%,56%,74%,79%,60%,38%,80%,66%,14,2,17,532,12,23,13,23,7,9,26,59,17,8,27,617,17,21,17,17,1,4,31,56
42,Atlético Mineiro,1–0,Avaí,"12,648",Bruno Arleu de Araujo,1,0,"https://fbref.com/en/matches/20e666d3/Atletico-Mineiro-Avai-June-7-2017-Serie-A"">Match Report",54%,46%,85%,79%,67%,31%,75%,75%,20,2,18,656,21,25,13,24,4,12,19,60,10,10,26,590,18,21,9,11,4,4,26,58
43,Santos,1–0,Botafogo (RJ),"14,486",Jailson Macêdo Freitas,1,0,"https://fbref.com/en/matches/32d2d03d/Santos-Botafogo-RJ-June-7-2017-Serie-A"">Match Report",61%,39%,86%,79%,38%,25%,100%,66%,13,7,24,745,6,15,5,12,2,8,22,59,9,2,24,540,18,18,25,23,2,9,28,47
44,Sport Recife,2–0,Flamengo,"11,426",Anderson Daronco,2,0,"https://fbref.com/en/matches/277ccf36/Sport-Recife-Flamengo-June-7-2017-Serie-A"">Match Report",39%,61%,73%,80%,31%,44%,100%,50%,17,3,12,496,18,21,7,18,1,6,25,43,16,8,20,672,21,14,10,10,2,8,31,52
45,Vasco da Gama,2–5,Corinthians,"16,288",Wagner Reway,2,5,"https://fbref.com/en/matches/70225d42/Vasco-da-Gama-Corinthians-June-7-2017-Serie-A"">Match Report",57%,43%,85%,79%,33%,60%,16%,77%,10,14,44,641,15,9,18,7,2,2,18,57,14,1,10,530,7,9,10,48,3,15,12,65
46,São Paulo,2–0,Vitória,"12,536",Rafael Traci,2,0,"https://fbref.com/en/matches/5dd02b82/Sao-Paulo-Vitoria-June-8-2017-Serie-A"">Match Report",51%,49%,80%,79%,50%,27%,66%,77%,14,10,30,567,15,10,28,27,1,10,21,59,18,6,17,553,9,16,17,28,1,12,26,60
47,Atl Goianiense,3–0,Ponte Preta,"2,862",Pericles Bassols Pegado Cortez,3,0,"https://fbref.com/en/matches/22e41964/Atletico-Goianiense-Ponte-Preta-June-8-2017-Serie-A"">Match Report",37%,63%,72%,85%,54%,40%,100%,57%,20,8,24,482,15,16,13,15,4,11,19,66,9,3,27,734,14,15,13,20,0,5,29,49
48,Chapecoense,3–6,Grêmio,"14,403",Rodolpho Toski Marques,3,6,"https://fbref.com/en/matches/4437f2d4/Chapecoense-Gremio-June-8-2017-Serie-A"">Match Report",48%,52%,77%,78%,39%,70%,14%,42%,22,5,24,530,13,11,19,1,0,6,30,51,9,1,5,591,20,14,12,24,2,12,18,56
49,Bahia,1–0,Cruzeiro,"18,917",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/6f36b8ff/Bahia-Cruzeiro-June-8-2017-Serie-A"">Match Report",59%,41%,87%,75%,26%,33%,75%,80%,18,5,12,717,11,18,10,17,0,4,13,57,12,6,19,537,18,18,7,11,1,10,29,53
50,Palmeiras,3–1,Fluminense,"33,066",André Luiz de Freitas Castro,3,1,"https://fbref.com/en/matches/81911aa7/Palmeiras-Fluminense-June-10-2017-Serie-A"">Match Report",56%,44%,79%,77%,38%,30%,66%,50%,24,6,14,612,20,16,15,21,3,8,23,54,19,3,17,518,14,17,13,20,1,9,19,59
51,Vasco da Gama,2–1,Sport Recife,"10,273",Caio Max Augusto Vieira,2,1,"https://fbref.com/en/matches/f08181a4/Vasco-da-Gama-Sport-Recife-June-10-2017-Serie-A"">Match Report",49%,51%,81%,81%,33%,38%,66%,50%,15,3,17,562,16,12,10,19,2,7,25,61,19,3,16,578,26,18,10,18,2,8,26,43
52,Botafogo (RJ),2–2,Coritiba,"14,866",Flavio Rodrigues De Souza,2,2,"https://fbref.com/en/matches/e9214056/Botafogo-RJ-Coritiba-June-11-2017-Serie-A"">Match Report",53%,47%,80%,77%,46%,50%,50%,66%,14,5,27,608,21,18,16,15,1,7,20,56,28,5,21,562,19,24,18,23,1,9,26,51
53,Vitória,2–0,Atlético Mineiro,"6,812",Raphael Claus,2,0,"https://fbref.com/en/matches/a2fe58fd/Vitoria-Atletico-Mineiro-June-11-2017-Serie-A"">Match Report",42%,58%,68%,79%,50%,11%,100%,33%,20,4,16,551,18,22,15,17,2,13,28,70,7,4,18,695,23,24,27,19,1,6,26,46
54,Corinthians,3–2,São Paulo,"42,443",Ricardo Marques Ribeiro,3,2,"https://fbref.com/en/matches/4f24bcef/Classico-Majestoso-Corinthians-Sao-Paulo-June-11-2017-Serie-A"">Match Report",55%,45%,84%,79%,55%,33%,50%,50%,11,3,15,686,15,12,10,30,2,8,24,62,15,0,27,575,17,12,15,15,1,8,29,49
55,Avaí,1–1,Flamengo,"13,448",Paulo Henrique Schleinch Vollkopf,1,1,"https://fbref.com/en/matches/6e1ee36f/Avai-Flamengo-June-11-2017-Serie-A"">Match Report",39%,61%,72%,79%,8%,33%,66%,0%,17,4,18,530,11,34,15,17,1,8,17,55,18,9,21,699,12,14,14,22,2,8,12,55
56,Ponte Preta,3–2,Chapecoense,"4,105",Dewson Fernando Freitas da Silva,3,2,"https://fbref.com/en/matches/5f9a6fe7/Ponte-Preta-Chapecoense-June-11-2017-Serie-A"">Match Report",35%,65%,66%,79%,60%,41%,57%,0%,8,1,6,453,16,21,17,33,3,10,20,71,22,6,31,629,9,11,15,6,2,6,37,64
57,Cruzeiro,2–0,Atl Goianiense,"9,912",Joao Batista de Arruda,2,0,"https://fbref.com/en/matches/e15197e9/Cruzeiro-Atletico-Goianiense-June-11-2017-Serie-A"">Match Report",70%,30%,85%,66%,47%,50%,100%,77%,11,7,24,810,12,15,25,10,1,3,26,53,21,2,14,433,8,21,16,25,1,11,17,60
58,Atl Paranaense,0–2,Santos,"18,112",Marcelo de Lima Henrique,0,2,"https://fbref.com/en/matches/939e2bd4/Atletico-Paranaense-Santos-June-11-2017-Serie-A"">Match Report",57%,43%,82%,78%,13%,50%,60%,100%,15,7,31,706,11,18,18,18,2,5,33,57,12,4,14,601,19,16,14,43,3,9,29,66
59,Grêmio,1–0,Bahia,"22,103",Eduardo Tomaz De Aquino Valadão,1,0,"https://fbref.com/en/matches/783c98f1/Gremio-Bahia-June-12-2017-Serie-A"">Match Report",64%,36%,87%,76%,32%,43%,100%,66%,15,11,30,864,20,17,8,8,2,2,27,55,16,4,13,578,26,18,12,26,0,6,18,48
60,Atlético Mineiro,0–1,Atl Paranaense,"10,924",Pericles Bassols Pegado Cortez,0,1,"https://fbref.com/en/matches/4185f5c8/Atletico-Mineiro-Atletico-Paranaense-June-14-2017-Serie-A"">Match Report",69%,31%,83%,62%,12%,29%,50%,100%,10,12,53,758,22,23,18,7,2,3,28,57,10,6,11,477,19,8,20,50,4,16,28,60
61,Vitória,2–2,Botafogo (RJ),"8,877",Anderson Daronco,2,2,"https://fbref.com/en/matches/f98fd403/Vitoria-Botafogo-RJ-June-14-2017-Serie-A"">Match Report",54%,46%,79%,72%,20%,50%,62%,33%,12,2,15,646,11,20,19,21,1,6,23,66,10,7,22,548,17,14,24,10,2,10,20,59
62,Atl Goianiense,3–1,Avaí,"2,572",Leandro Bizzio Marinho,3,1,"https://fbref.com/en/matches/ed76589e/Atletico-Goianiense-Avai-June-14-2017-Serie-A"">Match Report",47%,53%,74%,79%,29%,33%,0%,40%,21,7,30,573,20,17,15,8,2,10,15,75,24,2,16,637,18,20,17,20,1,8,34,64
63,Sport Recife,0–0,São Paulo,"10,810",Heber Roberto Lopes,0,0,"https://fbref.com/en/matches/de13ffc6/Sport-Recife-Sao-Paulo-June-14-2017-Serie-A"">Match Report",57%,43%,81%,75%,43%,14%,100%,100%,21,5,22,665,23,32,10,14,1,9,19,47,14,1,16,562,18,23,14,27,3,5,28,52
64,Flamengo,2–0,Ponte Preta,"13,981",Ricardo Marques Ribeiro,2,0,"https://fbref.com/en/matches/a2500203/Flamengo-Ponte-Preta-June-14-2017-Serie-A"">Match Report",56%,44%,81%,78%,22%,21%,100%,60%,11,5,26,666,18,19,20,9,3,9,19,63,16,4,14,571,14,16,11,26,1,12,19,67
65,Corinthians,1–0,Cruzeiro,"30,465",Leandro Pedro Vuaden,1,0,"https://fbref.com/en/matches/967dbae8/Corinthians-Cruzeiro-June-14-2017-Serie-A"">Match Report",52%,48%,83%,82%,43%,12%,100%,66%,9,6,17,736,20,18,13,27,6,11,26,65,16,7,30,679,14,18,10,17,4,4,28,38
66,Santos,1–0,Palmeiras,"10,143",Wilton Sampaio,1,0,"https://fbref.com/en/matches/33436164/Santos-Palmeiras-June-14-2017-Serie-A"">Match Report",46%,54%,78%,82%,56%,38%,100%,80%,16,10,21,595,23,14,15,18,2,7,17,56,14,7,22,709,18,13,12,19,3,2,27,47
67,Chapecoense,2–1,Vasco da Gama,"10,003",Jailson Macêdo Freitas,2,1,"https://fbref.com/en/matches/9210707d/Chapecoense-Vasco-da-Gama-June-14-2017-Serie-A"">Match Report",51%,49%,78%,73%,63%,40%,50%,80%,24,3,24,583,20,15,14,15,1,7,40,65,15,5,11,576,29,15,8,26,0,5,25,56
68,Coritiba,0–0,Bahia,"19,534",Wagner Reway,0,0,"https://fbref.com/en/matches/b66fd939/Coritiba-Bahia-June-15-2017-Serie-A"">Match Report",48%,52%,76%,74%,14%,30%,100%,100%,16,5,21,528,20,12,10,15,5,10,25,48,14,6,10,557,29,15,19,21,2,11,15,61
69,Fluminense,0–2,Grêmio,"11,652",Elmo Alves Resende Cunha,0,2,"https://fbref.com/en/matches/bd74c533/Fluminense-Gremio-June-15-2017-Serie-A"">Match Report",50%,50%,86%,82%,31%,33%,50%,50%,12,3,22,709,17,21,8,10,2,5,21,44,17,1,10,688,23,11,11,31,1,6,17,45
70,Atl Goianiense,0–1,Atl Paranaense,"4,420",Bruno Arleu de Araujo,0,1,"https://fbref.com/en/matches/16ee379b/Atletico-Goianiense-Atletico-Paranaense-June-17-2017-Serie-A"">Match Report",66%,34%,88%,74%,26%,44%,50%,100%,16,11,45,800,12,7,12,4,0,3,29,60,15,0,4,512,15,19,18,37,0,14,12,74
71,Vasco da Gama,1–0,Avaí,"10,993",Rafael Traci,1,0,"https://fbref.com/en/matches/3c811740/Vasco-da-Gama-Avai-June-17-2017-Serie-A"">Match Report",49%,51%,79%,78%,31%,36%,100%,80%,20,4,21,611,23,11,10,23,0,9,21,54,22,6,21,621,5,17,19,19,0,11,36,48
72,Santos,0–0,Ponte Preta,"19,984",Igor Junior Benevenuto,0,0,"https://fbref.com/en/matches/360316a3/Santos-Ponte-Preta-June-17-2017-Serie-A"">Match Report",58%,42%,87%,82%,31%,22%,100%,100%,17,5,32,736,8,15,9,7,2,7,26,43,13,2,8,579,11,10,11,31,3,11,11,65
73,Coritiba,0–0,Corinthians,"19,534",Marcelo de Lima Henrique,0,0,"https://fbref.com/en/matches/708cca81/Coritiba-Corinthians-June-18-2017-Serie-A"">Match Report",46%,54%,76%,80%,42%,0%,%,100%,18,10,35,550,28,18,11,18,3,4,22,61,13,4,13,639,14,10,13,31,5,13,27,53
74,Fluminense,2–2,Flamengo,"33,112",Vinicius Gonçalves Dias Araujo,2,2,"https://fbref.com/en/matches/a03966f0/Fluminense-Flamengo-June-18-2017-Serie-A"">Match Report",40%,60%,70%,80%,33%,36%,60%,50%,16,3,18,472,18,18,14,34,0,7,20,50,25,4,23,569,20,11,14,16,1,9,31,39
75,Bahia,2–4,Palmeiras,"33,186",Rodolpho Toski Marques,2,4,"https://fbref.com/en/matches/2fefa71d/Bahia-Palmeiras-June-18-2017-Serie-A"">Match Report",62%,38%,79%,62%,60%,38%,16%,77%,14,3,19,654,14,22,9,9,2,6,22,45,23,5,14,464,21,19,7,13,1,8,35,54
76,São Paulo,1–2,Atlético Mineiro,"22,704",Braulio da Silva Machado,1,2,"https://fbref.com/en/matches/0fb34bfe/Sao-Paulo-Atletico-Mineiro-June-18-2017-Serie-A"">Match Report",60%,41%,79%,72%,17%,38%,66%,50%,13,5,30,649,18,21,10,6,4,7,31,60,24,2,7,479,11,10,13,22,4,14,22,64
77,Chapecoense,0–2,Botafogo (RJ),"11,603",Marcelo Aparecido Ribeiro De Souza,0,2,"https://fbref.com/en/matches/4746d136/Chapecoense-Botafogo-RJ-June-18-2017-Serie-A"">Match Report",59%,41%,82%,69%,29%,57%,50%,100%,11,8,37,661,19,19,15,5,2,3,32,56,13,3,12,520,26,12,17,33,4,18,21,65
78,Sport Recife,1–3,Vitória,"6,061",André Luiz de Freitas Castro,1,3,"https://fbref.com/en/matches/fc690d2f/Sport-Recife-Vitoria-June-18-2017-Serie-A"">Match Report",57%,43%,82%,77%,55%,46%,50%,83%,10,5,40,725,17,17,17,24,3,7,40,43,19,5,19,600,25,22,15,40,1,6,23,72
79,Cruzeiro,3–3,Grêmio,"20,384",Raphael Claus,3,3,"https://fbref.com/en/matches/f2fc2a29/Cruzeiro-Gremio-June-19-2017-Serie-A"">Match Report",55%,45%,82%,77%,29%,47%,57%,40%,12,2,21,739,27,15,28,16,0,8,19,56,14,8,15,630,14,12,14,16,0,15,20,63
80,Vitória,0–2,Santos,"7,855",Heber Roberto Lopes,0,2,"https://fbref.com/en/matches/4fd4a78d/Vitoria-Santos-June-21-2017-Serie-A"">Match Report",59%,41%,81%,69%,18%,60%,50%,100%,15,8,34,638,8,17,17,12,4,3,20,73,10,5,11,504,8,13,10,36,4,15,12,61
81,Botafogo (RJ),3–1,Vasco da Gama,"15,048",Leandro Pedro Vuaden,3,1,"https://fbref.com/en/matches/87a2422e/Botafogo-RJ-Vasco-da-Gama-June-21-2017-Serie-A"">Match Report",44%,56%,76%,84%,50%,19%,66%,0%,20,2,12,540,21,13,16,30,1,12,22,51,11,6,37,654,13,13,12,14,1,4,32,47
82,Palmeiras,1–0,Atl Goianiense,"29,014",Antonio Dib Moraes de Sousa,1,0,"https://fbref.com/en/matches/8ade5af9/Palmeiras-Atletico-Goianiense-June-21-2017-Serie-A"">Match Report",68%,32%,85%,67%,33%,56%,80%,75%,10,6,32,770,28,14,22,27,5,5,23,50,17,3,13,475,18,18,15,22,6,5,36,48
83,Atlético Mineiro,2–2,Sport Recife,"12,027",Wilton Sampaio,2,2,"https://fbref.com/en/matches/39d87850/Atletico-Mineiro-Sport-Recife-June-21-2017-Serie-A"">Match Report",52%,48%,76%,75%,40%,50%,66%,0%,23,3,19,632,20,15,11,14,2,10,25,64,26,2,13,603,21,15,14,20,3,6,23,56
84,Atl Paranaense,1–0,São Paulo,"19,150",Wagner do Nascimento Magalhaes,1,0,"https://fbref.com/en/matches/0c8ce239/Atletico-Paranaense-Sao-Paulo-June-21-2017-Serie-A"">Match Report",34%,66%,73%,87%,55%,18%,100%,83%,17,5,11,504,21,15,22,36,2,13,15,63,15,8,44,779,10,20,17,15,1,3,24,34
